date,rv60_ann_%,chronic_high,crisis_window,regime
2023-08-04,4.306906961189082,False,False,平稳
2023-08-07,4.220314818829738,False,False,平稳
2023-08-08,4.2291620129801,False,False,平稳
2023-08-09,4.193094101685915,False,False,平稳
2023-08-10,4.255571732271525,False,False,平稳
2023-08-11,4.261737811308783,False,False,平稳
2023-08-14,4.254365118083554,False,False,平稳
2023-08-15,4.235366408802614,False,False,平稳
2023-08-16,4.246502834093731,False,False,平稳
2023-08-17,4.260466957553687,False,False,平稳
2023-08-18,4.2608805250534365,False,False,平稳
2023-08-21,4.346873899669405,False,False,平稳
2023-08-22,4.305956043573416,False,False,平稳
2023-08-23,4.522080669690273,False,False,平稳
2023-08-24,4.320206189206046,False,False,平稳
2023-08-25,4.293858782264955,False,False,平稳
2023-08-28,4.295114530147564,False,False,平稳
2023-08-29,4.346008751635012,False,False,平稳
2023-08-30,4.349756700618583,False,False,平稳
2023-08-31,4.365437909852761,False,False,平稳
2023-09-01,4.316178123058187,False,False,平稳
2023-09-05,4.401306609043903,False,False,平稳
2023-09-06,4.397140025582113,False,False,平稳
2023-09-07,4.403589850630535,False,False,平稳
2023-09-08,4.371012852720071,False,False,平稳
2023-09-11,4.369636354508696,False,False,平稳
2023-09-12,4.295218506136517,False,False,平稳
2023-09-13,4.291932104917356,False,False,平稳
2023-09-14,4.278645726482358,False,False,平稳
2023-09-15,4.276060538947707,False,False,平稳
2023-09-18,4.278640474235093,False,False,平稳
2023-09-19,4.2817634223985115,False,False,平稳
2023-09-20,4.269938508948738,False,False,平稳
2023-09-21,4.3389471775215265,False,False,平稳
2023-09-22,4.328852947359658,False,False,平稳
2023-09-25,4.258127074171999,False,False,平稳
2023-09-26,4.239217162297613,False,False,平稳
2023-09-27,4.244483791300204,False,False,平稳
2023-09-28,4.241732125792838,False,False,平稳
2023-09-29,4.171174209963471,False,False,平稳
2023-10-02,4.159793764770521,False,False,平稳
2023-10-03,4.461925087273504,False,False,平稳
2023-10-04,4.463448260565562,False,False,平稳
2023-10-05,4.312035521315279,False,False,平稳
2023-10-06,4.139651828309611,False,False,平稳
2023-10-10,4.349305215022707,False,False,平稳
2023-10-11,4.4314217679419565,False,False,平稳
2023-10-12,4.4949677566423345,False,False,平稳
2023-10-13,4.497232037443716,False,False,平稳
2023-10-16,4.4727466757262615,False,False,平稳
2023-10-17,4.548094295487293,True,False,高波动
2023-10-18,4.561441994626148,True,False,高波动
2023-10-19,4.6044477582522925,True,False,高波动
2023-10-20,4.60612986958223,True,False,高波动
2023-10-23,4.5506987973686925,True,False,高波动
2023-10-24,4.635070103720844,True,False,高波动
2023-10-25,4.6538106495645035,True,False,高波动
2023-10-26,4.677420657450615,True,False,高波动
2023-10-27,4.670309546359164,True,False,高波动
2023-10-30,4.580297316524627,True,False,高波动
2023-10-31,4.423350247501071,False,False,平稳
2023-11-01,4.588322700216499,True,False,高波动
2023-11-02,4.668654384407871,True,False,高波动
2023-11-03,4.803720472540536,True,False,高波动
2023-11-06,4.748382169817848,True,False,高波动
2023-11-07,4.76037420804752,True,False,高波动
2023-11-08,4.773473448570065,True,False,高波动
2023-11-09,4.8536820159405165,True,False,高波动
2023-11-10,4.831145500420917,True,False,高波动
2023-11-13,4.8170136431301165,True,False,高波动
2023-11-14,5.00313875485908,True,False,高波动
2023-11-15,4.904129668205792,True,False,高波动
2023-11-16,4.965351270814207,True,False,高波动
2023-11-17,4.790167419033792,True,False,高波动
2023-11-20,4.7924992773347626,True,False,高波动
2023-11-21,4.798495159364096,True,False,高波动
2023-11-22,4.797279196335482,True,False,高波动
2023-11-24,4.739608664439911,True,False,高波动
2023-11-27,4.7848384429662945,True,False,高波动
2023-11-28,4.8153721967874095,True,False,高波动
2023-11-29,4.89049583981912,True,False,高波动
2023-11-30,4.761791835650502,True,False,高波动
2023-12-01,4.844918654561912,True,False,高波动
2023-12-04,4.844722364380871,True,False,高波动
2023-12-05,4.905120991531127,True,False,高波动
2023-12-06,4.916479375308157,True,False,高波动
2023-12-07,4.915577419933076,True,False,高波动
2023-12-08,4.963565200108566,True,False,高波动
2023-12-11,4.962063411231735,True,False,高波动
2023-12-12,4.949386096990689,True,False,高波动
2023-12-13,5.202761844912886,True,False,高波动
2023-12-14,5.38816680795731,True,False,高波动
2023-12-15,5.388546301369227,True,False,高波动
2023-12-18,5.28935166878397,True,False,高波动
2023-12-19,5.286566050340253,True,False,高波动
