date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2023-01-30,-0.1666,-0.7545,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.298479,0.346438,0.424379,0.526278,,,,,,,,
2023-01-31,0.344,0.4018,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.29225,0.340114,0.451052,0.529967,,,,,,,,
2023-02-01,0.4256,0.227,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.29561,0.341731,0.44825,0.529157,,,,,,,,
2023-02-02,0.1433,-0.0646,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.304976,0.347494,0.438137,0.527014,,,,,,,,
2023-02-03,-0.3641,0.3278,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.297761,0.341898,0.425084,0.524278,,,,,,,,
2023-02-06,-0.4987,-0.2259,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.302153,0.342564,0.419883,0.522877,,,,,,,,
2023-02-07,-0.1445,-0.1563,0.60532,0.759945,0.969614,1.135799,,,,,,,,,0.317397,0.350015,0.410835,0.520694,,,,,,,,
2023-02-08,0.2278,0.1983,0.598965,0.759945,0.969614,1.135799,,,,,,,,,0.309756,0.344141,0.400155,0.51825,,,,,,,,
2023-02-09,-0.2835,-0.4427,0.598965,0.759945,0.969614,1.135799,,,,,,,,,0.30546,0.341034,0.390994,0.516084,,,,,,,,
2023-02-10,-0.3066,0.1703,0.598965,0.759945,0.969614,1.135799,,,,,,,,,0.304187,0.338452,0.394287,0.515562,,,,,,,,
2023-02-13,0.0112,0.1462,0.598965,0.759945,0.969614,1.135799,,,,,,,,,0.304332,0.336727,0.384545,0.513345,,,,,,,,
2023-02-14,-0.1564,-0.0729,0.57741,0.751305,0.969614,1.135799,,,,,,,,,0.295074,0.329549,0.374546,0.511022,,,,,,,,
2023-02-15,-0.1679,0.205,0.57741,0.751305,0.969614,1.135799,,,,,,,,,0.288638,0.323319,0.363575,0.482031,,,,,,,,
2023-02-16,-0.1794,-0.0627,0.55368,0.751305,0.969614,1.135799,,,,,,,,,0.282851,0.31711,0.356058,0.473478,,,,,,,,
2023-02-17,-0.0056,0.0979,0.55368,0.751305,0.969614,1.135799,,,,,,,,,0.277733,0.310979,0.345552,0.461637,,,,,,,,
2023-02-21,-0.6756,-0.6188,0.55368,0.751305,0.969614,1.135799,,,,,,,,,0.269275,0.302347,0.335882,0.44856,,,,,,,,
2023-02-22,0.0169,0.3192,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.309103,0.331358,0.359197,0.459512,,,,,,,,
2023-02-23,0.3045,0.5466,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.299715,0.324776,0.356924,0.454335,,,,,,,,
2023-02-24,-0.3102,0.3679,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.300005,0.325474,0.371049,0.461424,,,,,,,,
2023-02-27,0.1411,0.0044,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.300626,0.324255,0.370861,0.458605,,,,,,,,
2023-02-28,0.186,0.0059,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.29351,0.319455,0.359564,0.447289,,,,,,,,
2023-03-01,-0.3666,-1.3363,0.580875,0.751305,0.969614,1.135799,,,,,,,,,0.288192,0.315843,0.348614,0.434432,,,,,,,,
